Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Apartment_Benchmark_SA
2020-09,196.7,197.3,203.9,180.9,168.0,167800,168300,171900,159400,140100
2020-10,200.5,201.1,208.5,182.5,173.3,171000,171500,175800,160800,144500
2020-11,204.5,204.9,212.0,187.9,176.3,174400,174800,178700,165500,147000
2020-12,209.1,209.7,216.5,193.0,179.1,178400,178900,182500,170000,149400
2021-01,214.1,214.7,222.4,195.5,186.2,182600,183100,187500,172200,155300
2021-02,216.9,217.5,224.3,201.2,187.6,185000,185500,189100,177300,156500
2021-03,223.1,223.8,230.8,206.4,191.4,190300,190900,194600,181800,159600
2021-04,225.8,226.5,232.9,210.7,195.1,192600,193200,196300,185600,162700
2021-05,231.9,232.6,241.3,211.8,199.8,197800,198400,203400,186600,166600
2021-06,236.6,237.3,246.3,215.7,204.2,201800,202400,207600,190000,170300
2021-07,242.9,243.6,254.0,220.3,208.3,207200,207800,214100,194100,173700
2021-08,245.1,245.8,255.3,223.6,211.6,209100,209700,215200,197000,176500
2021-09,248.2,248.8,257.9,228.0,217.1,211700,212200,217400,200900,181100
2021-10,250.6,251.3,260.3,230.2,221.1,213800,214400,219400,202800,184400
2021-11,257.7,258.4,267.6,236.4,223.7,219800,220400,225600,208300,186600
2021-12,262.0,262.7,271.6,241.2,226.5,223500,224100,229000,212500,188900
2022-01,267.1,267.9,275.2,250.1,230.5,227800,228500,232000,220300,192200
2022-02,277.0,278.0,286.7,257.7,232.9,236300,237100,241700,227000,194200
2022-03,283.9,285.2,293.1,265.6,231.1,242200,243300,247100,234000,192700
2022-04,291.3,292.4,300.4,273.0,236.9,248500,249400,253200,240500,197600
2022-05,294.4,295.5,304.0,274.9,241.6,251100,252100,256300,242200,201500
2022-06,297.8,298.9,306.2,281.3,248.1,254000,255000,258100,247800,206900
2022-07,295.4,296.4,303.7,279.5,253.8,252000,252800,256000,246200,211700
2022-08,298.9,300.0,306.4,284.4,256.4,255000,255900,258300,250600,213800
2022-09,295.3,296.2,302.5,282.3,256.5,251900,252700,255000,248700,213900
2022-10,299.2,300.2,306.6,285.0,257.4,255200,256100,258500,251100,214700
2022-11,296.8,297.7,302.5,285.5,257.1,253200,253900,255000,251500,214400
2022-12,297.9,299.1,305.3,283.2,248.0,254100,255100,257400,249500,206800
2023-01,297.8,298.8,303.9,285.8,248.0,254000,254900,256200,251800,206800
2023-02,296.0,297.2,305.9,276.5,249.5,252500,253500,257900,243600,208100
2023-03,295.9,297.0,305.9,275.5,253.7,252400,253300,257900,242700,211600
2023-04,298.7,299.6,312.0,271.2,258.2,254800,255600,263000,238900,215300
2023-05,300.1,301.2,312.1,274.8,264.1,256000,256900,263100,242100,220300
2023-06,301.2,302.2,314.2,274.3,260.3,256900,257800,264900,241700,217100
2023-07,305.6,306.8,317.0,283.2,260.2,260700,261700,267200,249500,217000
2023-08,306.2,307.2,316.4,285.6,267.4,261200,262000,266700,251600,223000
2023-09,313.4,314.4,325.6,288.5,273.4,267300,268200,274500,254200,228000
2023-10,315.4,316.5,325.1,295.1,272.9,269000,270000,274100,260000,227600
2023-11,321.3,322.7,333.5,296.7,274.2,274100,275300,281100,261400,228700
2023-12,323.9,325.1,335.7,299.2,284.1,276300,277300,283000,263600,236900
2024-01,324.6,325.9,336.7,299.7,278.9,276900,278000,283800,264000,232600
2024-02,328.1,329.3,338.3,306.6,287.1,279900,280900,285200,270100,239400
2024-03,329.8,330.9,340.5,306.7,293.3,281300,282300,287000,270200,244600
2024-04,331.4,332.6,340.6,312.0,294.8,282700,283700,287100,274900,245900
2024-05,332.6,333.9,343.8,307.0,292.1,283700,284800,289800,270500,243600
2024-06,337.9,339.5,348.0,317.0,288.6,288200,289600,293400,279300,240700
