Month-Year,All-items CPI,Province
2000-12,97.3,NL
2001-01,97.2,NL
2001-02,97.7,NL
2001-03,97.6,NL
2001-04,96.9,NL
2001-05,98.6,NL
2001-06,98.5,NL
2001-07,98.3,NL
2001-08,98.1,NL
2001-09,98.1,NL
2001-10,97.5,NL
2001-11,97,NL
2001-12,96.7,NL
2002-01,97,NL
2002-02,97.4,NL
2002-03,98,NL
2002-04,99.7,NL
2002-05,100.6,NL
2002-06,100.4,NL
2002-07,100.6,NL
2002-08,100.4,NL
2002-09,100.7,NL
2002-10,101.7,NL
2002-11,102,NL
2002-12,101.5,NL
2003-01,102.1,NL
2003-02,102.3,NL
2003-03,103.5,NL
2003-04,103.2,NL
2003-05,103,NL
2003-06,102.6,NL
2003-07,103.3,NL
2003-08,103,NL
2003-09,103.5,NL
2003-10,102.6,NL
2003-11,103.2,NL
2003-12,102.6,NL
2004-01,103.1,NL
2004-02,103,NL
2004-03,103.4,NL
2004-04,103.7,NL
2004-05,104.8,NL
2004-06,105.1,NL
2004-07,105.7,NL
2004-08,105.4,NL
2004-09,105.6,NL
2004-10,105.9,NL
2004-11,106.2,NL
2004-12,105.8,NL
2005-01,105.7,NL
2005-02,106.2,NL
2005-03,106.6,NL
2005-04,107.5,NL
2005-05,107.5,NL
2005-06,107.6,NL
2005-07,107.9,NL
2005-08,108,NL
2005-09,109.6,NL
2005-10,108.2,NL
2005-11,108.3,NL
2005-12,107.9,NL
2006-01,108.4,NL
2006-02,108.4,NL
2006-03,108.7,NL
2006-04,109.6,NL
2006-05,110.6,NL
2006-06,110.4,NL
2006-07,110.5,NL
2006-08,110.9,NL
2006-09,109.7,NL
2006-10,108.9,NL
2006-11,109.1,NL
2006-12,109.3,NL
