Province_x,Month-Year,Unemployment Rate,Minimum Wage
Newfoundland and Labrador,May-1980,13.8,$2.80
Newfoundland and Labrador,Jun-1980,14.0,$2.80
Newfoundland and Labrador,Jul-1980,13.4,$3.15
Newfoundland and Labrador,Aug-1980,13.5,$3.15
Newfoundland and Labrador,Sep-1980,12.6,$3.15
Newfoundland and Labrador,Oct-1980,11.9,$3.15
Newfoundland and Labrador,Nov-1980,11.8,$3.15
Newfoundland and Labrador,Dec-1980,13.2,$3.15
Newfoundland and Labrador,Jan-1981,13.2,$3.15
Newfoundland and Labrador,Feb-1981,12.7,$3.15
Newfoundland and Labrador,Mar-1981,12.7,$3.15
Newfoundland and Labrador,Apr-1981,12.5,$3.45
Newfoundland and Labrador,May-1981,11.3,$3.45
Newfoundland and Labrador,Jun-1981,13.0,$3.45
Newfoundland and Labrador,Jul-1981,13.3,$3.45
Newfoundland and Labrador,Aug-1981,13.4,$3.45
Newfoundland and Labrador,Sep-1981,16.7,$3.45
Newfoundland and Labrador,Oct-1981,15.7,$3.45
Newfoundland and Labrador,Nov-1981,13.9,$3.45
Newfoundland and Labrador,Dec-1981,13.6,$3.45
Newfoundland and Labrador,Jan-1982,13.8,$3.45
Newfoundland and Labrador,Feb-1982,14.2,$3.45
Newfoundland and Labrador,Mar-1982,13.7,$3.45
Newfoundland and Labrador,Apr-1982,14.8,$3.45
Newfoundland and Labrador,May-1982,15.8,$3.45
Newfoundland and Labrador,Jun-1982,16.0,$3.45
Newfoundland and Labrador,Jul-1982,16.2,$3.45
Newfoundland and Labrador,Aug-1982,17.1,$3.45
Newfoundland and Labrador,Sep-1982,18.1,$3.45
Newfoundland and Labrador,Oct-1982,18.8,$3.45
Newfoundland and Labrador,Nov-1982,18.4,$3.45
Newfoundland and Labrador,Dec-1982,18.5,$3.45
Newfoundland and Labrador,Jan-1983,17.1,$3.75
Newfoundland and Labrador,Feb-1983,18.0,$3.75
Newfoundland and Labrador,Mar-1983,18.0,$3.75
Newfoundland and Labrador,Apr-1983,18.2,$3.75
Newfoundland and Labrador,May-1983,17.3,$3.75
Newfoundland and Labrador,Jun-1983,18.3,$3.75
Newfoundland and Labrador,Jul-1983,18.1,$3.75
Newfoundland and Labrador,Aug-1983,17.7,$3.75
Newfoundland and Labrador,Sep-1983,17.8,$3.75
Newfoundland and Labrador,Oct-1983,18.1,$3.75
Newfoundland and Labrador,Nov-1983,18.9,$3.75
Newfoundland and Labrador,Dec-1983,19.4,$3.75
Newfoundland and Labrador,Jan-1984,19.8,$3.75
Newfoundland and Labrador,Feb-1984,20.2,$3.75
Newfoundland and Labrador,Mar-1984,19.7,$3.75
Newfoundland and Labrador,Apr-1984,19.3,$3.75
Newfoundland and Labrador,May-1984,20.2,$3.75
Newfoundland and Labrador,Jun-1984,17.9,$3.75
Newfoundland and Labrador,Jul-1984,19.1,$3.75
Newfoundland and Labrador,Aug-1984,19.9,$3.75
Newfoundland and Labrador,Sep-1984,22.7,$3.75
Newfoundland and Labrador,Oct-1984,21.0,$3.75
Newfoundland and Labrador,Nov-1984,21.3,$3.75
Newfoundland and Labrador,Dec-1984,21.2,$3.75
Newfoundland and Labrador,Jan-1985,20.7,$4.00
Newfoundland and Labrador,Feb-1985,20.1,$4.00
Newfoundland and Labrador,Mar-1985,19.5,$4.00
Newfoundland and Labrador,Apr-1985,21.6,$4.00
Newfoundland and Labrador,May-1985,21.5,$4.00
Newfoundland and Labrador,Jun-1985,21.6,$4.00
Newfoundland and Labrador,Jul-1985,19.9,$4.00
Newfoundland and Labrador,Aug-1985,19.6,$4.00
Newfoundland and Labrador,Sep-1985,19.1,$4.00
Newfoundland and Labrador,Oct-1985,19.2,$4.00
Newfoundland and Labrador,Nov-1985,19.4,$4.00
Newfoundland and Labrador,Dec-1985,19.7,$4.00
Newfoundland and Labrador,Jan-1986,19.0,$4.00
Newfoundland and Labrador,Feb-1986,18.8,$4.00
Newfoundland and Labrador,Mar-1986,19.2,$4.00
Newfoundland and Labrador,Apr-1986,18.2,$4.00
Newfoundland and Labrador,May-1986,17.3,$4.00
Newfoundland and Labrador,Jun-1986,19.0,$4.00
Newfoundland and Labrador,Jul-1986,20.6,$4.00
Newfoundland and Labrador,Aug-1986,19.6,$4.00
